token,dominant_group,top_100_comment_count,rank_300_500_comment_count,top_100_comments_per_1000,rank_300_500_comments_per_1000,comments_per_1000_diff,rate_ratio
make,rank_300_500,57,313,23.47,67.14,-43.67,0.3495
good,top_100,177,193,72.87,41.4,31.47,1.7602
character,rank_300_500,14,158,5.76,33.89,-28.13,0.1701
like,rank_300_500,97,316,39.93,67.78,-27.85,0.5892
crashes,top_100,101,87,41.58,18.66,22.92,2.2282
crash,top_100,106,97,43.64,20.81,22.83,2.0974
love,rank_300_500,47,182,19.35,39.04,-19.69,0.4956
she,rank_300_500,3,96,1.24,20.59,-19.36,0.06
sanity,rank_300_500,1,91,0.41,19.52,-19.11,0.0211
think,rank_300_500,22,127,9.06,27.24,-18.18,0.3325
shift,top_100,41,1,16.88,0.21,16.66,78.6916
work,top_100,175,259,72.05,55.56,16.49,1.2968
should,rank_300_500,27,119,11.12,25.53,-14.41,0.4355
being,rank_300_500,12,87,4.94,18.66,-13.72,0.2647
show,top_100,51,34,21.0,7.29,13.7,2.879
it's,rank_300_500,71,200,29.23,42.9,-13.67,0.6814
night,rank_300_500,5,73,2.06,15.66,-13.6,0.1315
damage,rank_300_500,4,71,1.65,15.23,-13.58,0.1081
don't,rank_300_500,65,187,26.76,40.11,-13.35,0.6671
know,rank_300_500,40,139,16.47,29.82,-13.35,0.5523
i'm,rank_300_500,39,137,16.06,29.39,-13.33,0.5464
time,rank_300_500,50,158,20.58,33.89,-13.31,0.6074
other,rank_300_500,49,156,20.17,33.46,-13.29,0.6029
something,rank_300_500,20,97,8.23,20.81,-12.57,0.3957
com,rank_300_500,50,153,20.58,32.82,-12.23,0.6272
up,rank_300_500,46,145,18.94,31.1,-12.16,0.6089
stack,top_100,41,22,16.88,4.72,12.16,3.5769
inactive,top_100,29,0,11.94,0.0,11.94,
nice,top_100,92,121,37.88,25.95,11.92,1.4593
person,top_100,32,11,13.17,2.36,10.81,5.5834
server,top_100,83,110,34.17,23.6,10.58,1.4482
lua,top_100,59,69,24.29,14.8,9.49,1.6411
doesn't,top_100,74,99,30.47,21.24,9.23,1.4346
won't,top_100,35,28,14.41,6.01,8.4,2.3991
bob,top_100,51,62,21.0,13.3,7.7,1.5788
scripts,top_100,34,30,14.0,6.44,7.56,2.1752
wilson,top_100,23,9,9.47,1.93,7.54,4.9049
method,top_100,28,19,11.53,4.08,7.45,2.8285
map,top_100,48,59,19.76,12.66,7.11,1.5615
working,top_100,66,94,27.17,20.16,7.01,1.3476
